date,ticker,adj_close,return,excess_return,volume,log_volume,t5yie,sofr,dgs10,vix,rf_daily,high_inflation
2021-01-04,ACES,76.32101440429688,,,,,1.98,0.1,0.93,26.969999313354492,3.968253968253968e-06,0
2021-01-05,ACES,77.6475830078125,0.0173814330675476,0.01737706798818252,,,2.01,0.11,0.96,25.34000015258789,4.365079365079366e-06,0
2021-01-06,ACES,83.52649688720703,0.0757127736841856,0.07570880543021734,,,2.04,0.1,1.04,25.06999969482422,3.968253968253968e-06,0
2021-01-07,ACES,88.86144256591797,0.0638712968642174,0.06386732861024914,,,2.09,0.1,1.08,22.3700008392334,3.968253968253968e-06,0
2021-01-08,ACES,90.23575592041016,0.0154658006308272,0.01546222920225577,,,2.07,0.09,1.13,21.559999465942383,3.5714285714285714e-06,0
2021-01-11,ACES,89.31952667236328,-0.0101537271860947,-0.010157298614666129,,,2.04,0.09,1.15,24.079999923706055,3.5714285714285714e-06,0
2021-01-12,ACES,92.28763580322266,0.0332302380166749,0.0332270634135003,,,2.06,0.08,1.15,23.329999923706055,3.1746031746031746e-06,0
2021-01-13,ACES,92.38308715820312,0.0010342810729704,0.0010311064697957968,,,2.04,0.08,1.1,22.209999084472656,3.1746031746031746e-06,0
2021-01-14,ACES,91.91543579101562,-0.0050620885442663,-0.005065263147440903,,,2.09,0.08,1.15,23.25,3.1746031746031746e-06,0
2021-01-15,ACES,87.49669647216797,-0.0480739636473503,-0.048077138250524905,,,2.09,0.08,1.11,24.34000015258789,3.1746031746031746e-06,0
2021-01-19,ACES,90.8656234741211,0.0385034765629666,0.038500698785188824,,,2.12,0.07,1.1,23.239999771118164,2.7777777777777783e-06,0
2021-01-20,ACES,90.388427734375,-0.0052516641772892,-0.005254045129670153,,,2.15,0.06,1.1,21.579999923706055,2.3809523809523808e-06,0
2021-01-21,ACES,93.01295471191406,0.0290360950325607,0.029034507730973397,,,2.18,0.04,1.12,21.31999969482422,1.5873015873015873e-06,0
2021-01-22,ACES,93.83370971679688,0.0088240934547763,0.008822109327792173,,,2.16,0.05,1.1,21.90999984741211,1.984126984126984e-06,0
2021-01-25,ACES,92.42123413085938,-0.0150529654023117,-0.015055346354692651,,,2.15,0.06,1.05,23.190000534057617,2.3809523809523808e-06,0
2021-01-26,ACES,93.4805908203125,0.0114622651322009,0.011461074656010425,,,2.15,0.03,1.05,23.020000457763672,1.1904761904761904e-06,0
2021-01-27,ACES,88.80419921875,-0.050025267924883,-0.050026458401073476,,,2.15,0.03,1.04,37.209999084472656,1.1904761904761904e-06,0
2021-01-28,ACES,89.61540222167969,0.0091347369839061,0.009133149682318799,,,2.18,0.04,1.07,30.209999084472656,1.5873015873015873e-06,0
2021-01-29,ACES,87.43944549560547,-0.0242810574089886,-0.024283438361369553,,,2.21,0.06,1.11,33.09000015258789,2.3809523809523808e-06,0
2021-02-01,ACES,90.09258270263672,0.0303425666985113,0.03033978892073352,,,2.18,0.07,1.09,30.239999771118164,2.7777777777777783e-06,0
2021-02-02,ACES,90.5124969482422,0.0046609191679125,0.0046581413901347225,,,2.23,0.07,1.12,25.559999465942383,2.7777777777777783e-06,0
2021-02-03,ACES,91.57183837890624,0.0117038140188512,0.011701036241073421,,,2.27,0.07,1.15,22.90999984741211,2.7777777777777783e-06,0
2021-02-04,ACES,92.34489440917967,0.0084420717543605,0.008440087627376374,,,2.25,0.05,1.15,21.770000457763672,1.984126984126984e-06,0
2021-02-05,ACES,93.16564178466795,0.0088878478960792,0.008887054245285549,,,2.28,0.02,1.19,20.8700008392334,7.936507936507937e-07,0
2021-02-08,ACES,95.18891143798828,0.0217169078059555,0.02171611415516185,,,2.31,0.02,1.19,21.239999771118164,7.936507936507937e-07,0
2021-02-09,ACES,95.742431640625,0.0058149651495627,0.005812981022578573,,,2.31,0.05,1.18,21.6299991607666,1.984126984126984e-06,0
2021-02-10,ACES,93.93868255615234,-0.0188395996797233,-0.018841980632104252,,,2.31,0.06,1.15,21.989999771118164,2.3809523809523808e-06,0
2021-02-11,ACES,93.95777893066406,0.0002032855261762,0.00020090457379524763,,,2.32,0.06,1.16,21.25,2.3809523809523808e-06,0
2021-02-12,ACES,93.52831268310548,-0.0045708429088719,-0.004572827035856027,,,2.35,0.05,1.2,19.969999313354492,1.984126984126984e-06,0
2021-02-16,ACES,90.71768188476562,-0.0300511226783581,-0.03005350363073905,,,2.37,0.06,1.3,21.459999084472656,2.3809523809523808e-06,0
2021-02-17,ACES,88.32699584960938,-0.0263530326777201,-0.026355413630101052,,,2.35,0.06,1.29,21.5,2.3809523809523808e-06,0
2021-02-18,ACES,84.49042510986328,-0.0434359926185926,-0.043437183094783074,,,2.29,0.03,1.29,22.489999771118164,1.1904761904761904e-06,0
2021-02-19,ACES,87.0290298461914,0.0300460641904354,0.03004527053964175,,,2.29,0.02,1.34,22.049999237060547,7.936507936507937e-07,0
2021-02-22,ACES,81.5127944946289,-0.0633838543450556,-0.06338504482124607,,,2.35,0.03,1.37,23.450000762939453,1.1904761904761904e-06,0
2021-02-23,ACES,79.19366455078125,-0.0284511156589101,-0.028451512484306926,,,2.35,0.01,1.37,23.110000610351562,3.9682539682539683e-07,0
2021-02-24,ACES,81.61773681640625,0.0306094215916805,0.03060862794088685,,,2.38,0.02,1.38,21.34000015258789,7.936507936507937e-07,0
2021-02-25,ACES,76.42599487304688,-0.0636104619641421,-0.06361165244033258,,,2.34,0.03,1.54,28.889999389648438,1.1904761904761904e-06,0
2021-02-26,ACES,77.43762969970703,0.013236789764276,0.013236392938879175,,,2.39,0.01,1.44,27.950000762939453,3.9682539682539683e-07,0
2021-03-01,ACES,81.22648620605469,0.0489278471079286,0.048927053457134946,,,2.4,0.02,1.45,23.350000381469727,7.936507936507937e-07,1
2021-03-02,ACES,78.43016815185547,-0.0344261851621346,-0.034427772463721903,,,2.43,0.04,1.42,24.100000381469727,1.5873015873015873e-06,1
2021-03-03,ACES,74.345458984375,-0.0520808416421052,-0.0520824289436925,,,2.45,0.04,1.47,26.670000076293945,1.5873015873015873e-06,1
2021-03-04,ACES,70.44208526611328,-0.0525031894561587,-0.052503983106952354,,,2.43,0.02,1.54,28.56999969482422,7.936507936507937e-07,1
2021-03-05,ACES,69.61178588867188,-0.0117869789672571,-0.011787772618050751,,,2.43,0.02,1.56,24.65999984741211,7.936507936507937e-07,1
2021-03-08,ACES,67.626708984375,-0.0285163909955068,-0.02851718464630045,,,2.42,0.02,1.59,25.469999313354492,7.936507936507937e-07,1
2021-03-09,ACES,72.87571716308594,0.0776173830952458,0.07761658944445214,,,2.41,0.02,1.55,24.030000686645508,7.936507936507937e-07,1
2021-03-10,ACES,73.47699737548828,0.0082507621991116,0.00824996854831795,,,2.47,0.02,1.53,22.559999465942383,7.936507936507937e-07,1
2021-03-11,ACES,77.9529800415039,0.0609167879185656,0.06091639109316877,,,2.51,0.01,1.54,21.90999984741211,3.9682539682539683e-07,1
2021-03-12,ACES,77.29446411132812,-0.0084476043099978,-0.008448001135394624,,,2.51,0.01,1.64,20.690000534057617,3.9682539682539683e-07,1
2021-03-15,ACES,77.99116516113281,0.0090135957059127,0.009013198880515876,,,2.54,0.01,1.62,20.030000686645508,3.9682539682539683e-07,1
2021-03-16,ACES,75.46208953857422,-0.0324277194389059,-0.032428116264302725,,,2.59,0.01,1.62,19.790000915527344,3.9682539682539683e-07,1
2021-03-17,ACES,74.01142883300781,-0.0192237017877018,-0.019224098613098626,,,2.58,0.01,1.63,19.229999542236328,3.9682539682539683e-07,1
2021-03-18,ACES,70.04644012451172,-0.0535726545347787,-0.053573051360175525,,,2.5,0.01,1.71,21.579999923706055,3.9682539682539683e-07,1
2021-03-19,ACES,71.4788589477539,0.0204495591881039,0.020449162362707073,,,2.51,0.01,1.74,20.950000762939453,3.9682539682539683e-07,1
2021-03-22,ACES,72.89221954345703,0.0197731275584043,0.019772730733007473,,,2.51,0.01,1.69,18.8799991607666,3.9682539682539683e-07,1
2021-03-23,ACES,70.74357604980469,-0.0294769936642053,-0.029477390489602125,,,2.48,0.01,1.63,20.299999237060547,3.9682539682539683e-07,1
2021-03-24,ACES,68.55670928955078,-0.0309125843272937,-0.030912981152690526,,,2.53,0.01,1.62,21.200000762939453,3.9682539682539683e-07,1
2021-03-25,ACES,69.62625122070312,0.0156008353119037,0.015600438486506874,,,2.54,0.01,1.63,19.809999465942383,3.9682539682539683e-07,1
2021-03-26,ACES,71.28789520263672,0.0238651938428577,0.023864797017460873,,,2.57,0.01,1.67,18.860000610351562,3.9682539682539683e-07,1
2021-03-29,ACES,68.5757827758789,-0.0380445013707951,-0.038044898196191924,,,2.56,0.01,1.73,20.739999771118164,3.9682539682539683e-07,1
2021-03-30,ACES,71.4311294555664,0.0416378284593472,0.041637431633950374,,,2.52,0.01,1.73,19.610000610351562,3.9682539682539683e-07,1
2021-03-31,ACES,74.5156478881836,0.0431817116168644,0.04318131479146757,,,2.54,0.01,1.74,19.399999618530273,3.9682539682539683e-07,1
2021-04-01,ACES,74.71620178222656,0.0026914332724303,0.002691036447033475,,,2.55,0.01,1.69,17.329999923706055,3.9682539682539683e-07,1
2021-04-05,ACES,73.1500473022461,-0.0209613770858602,-0.020961773911257028,,,2.55,0.01,1.73,17.90999984741211,3.9682539682539683e-07,1
2021-04-06,ACES,74.31510925292969,0.0159270156842101,0.015926618858813274,,,2.52,0.01,1.67,18.1200008392334,3.9682539682539683e-07,1
2021-04-07,ACES,72.00410461425781,-0.031097372551878,-0.031097769377274827,,,2.53,0.01,1.68,17.15999984741211,3.9682539682539683e-07,1
2021-04-08,ACES,72.87311553955078,0.0120689081538956,0.012068511328498776,,,2.55,0.01,1.64,16.950000762939453,3.9682539682539683e-07,1
2021-04-09,ACES,72.53889465332031,-0.0045863400206771,-0.0045867368460739254,,,2.51,0.01,1.67,16.690000534057617,3.9682539682539683e-07,1
2021-04-12,ACES,71.45022583007812,-0.0150080702007547,-0.015008467026151525,,,2.52,0.01,1.69,16.90999984741211,3.9682539682539683e-07,1
2021-04-13,ACES,72.04229736328125,0.0082864893193086,0.008286092493911774,,,2.54,0.01,1.64,16.649999618530273,3.9682539682539683e-07,1
2021-04-14,ACES,71.4024887084961,-0.0088810140459409,-0.008881410871337725,,,2.56,0.01,1.64,16.989999771118164,3.9682539682539683e-07,1
2021-04-15,ACES,69.75992584228516,-0.0230042803258129,-0.023004677151209726,,,2.55,0.01,1.56,16.56999969482422,3.9682539682539683e-07,1
2021-04-16,ACES,71.25923156738281,0.0214923640900552,0.021491967264658372,,,2.57,0.01,1.59,16.25,3.9682539682539683e-07,1
2021-04-19,ACES,68.8336410522461,-0.0340389653632887,-0.03403936218868553,,,2.56,0.01,1.61,17.290000915527344,3.9682539682539683e-07,1
2021-04-20,ACES,68.06011199951172,-0.0112376599713395,-0.011238056796736326,,,2.52,0.01,1.58,18.68000030517578,3.9682539682539683e-07,1
2021-04-21,ACES,70.24697875976562,0.0321314011394748,0.03213100431407797,,,2.53,0.01,1.57,17.5,3.9682539682539683e-07,1
2021-04-22,ACES,70.75309753417969,0.0072048475728032,0.007204450747406375,,,2.42,0.01,1.57,18.709999084472656,3.9682539682539683e-07,1
2021-04-23,ACES,72.63436889648438,0.0265892438334007,0.026588847008003874,,,2.44,0.01,1.58,17.329999923706055,3.9682539682539683e-07,1
2021-04-26,ACES,73.75170135498047,0.0153829719383735,0.015382575112976674,,,2.47,0.01,1.58,17.639999389648438,3.9682539682539683e-07,1
2021-04-27,ACES,73.33150482177734,-0.0056974486755314,-0.005697845500928225,,,2.51,0.01,1.63,17.559999465942383,3.9682539682539683e-07,1
2021-04-28,ACES,72.3001480102539,-0.0140643072037047,-0.014064704029101526,,,2.54,0.01,1.63,17.280000686645508,3.9682539682539683e-07,1
2021-04-29,ACES,71.37381744384766,-0.0128122914253906,-0.012812688250787425,,,2.56,0.01,1.65,17.610000610351562,3.9682539682539683e-07,1
2021-04-30,ACES,69.53074645996094,-0.0258227883822625,-0.025823185207659326,,,2.57,0.01,1.65,18.610000610351562,3.9682539682539683e-07,1
2021-05-03,ACES,68.04100799560547,-0.0214256072342517,-0.021426004059648528,,,2.6,0.01,1.63,18.309999465942383,3.9682539682539683e-07,1
2021-05-04,ACES,65.37666320800781,-0.0391579264635488,-0.039158323288945626,,,2.62,0.01,1.61,19.479999542236328,3.9682539682539683e-07,1
