date,ticker,adj_close,return,excess_return,t5yie,sofr,dgs10,vix,rf_daily,high_inflation
2021-01-05,ACES,77.6475830078125,0.0173814330675476,0.0173770679881825,2.01,0.11,0.96,25.34000015258789,4.365079365079366e-06,0
2021-01-05,CNRG,104.9291534423828,0.0242385891422447,0.0242342240628796,2.01,0.11,0.96,25.34000015258789,4.365079365079366e-06,0
2021-01-05,DRIV,23.079721450805664,0.0241566448102878,0.0241522797309227,2.01,0.11,0.96,25.34000015258789,4.365079365079366e-06,0
2021-01-05,DSI,67.02955627441406,0.0059480756774668,0.0059437105981017,2.01,0.11,0.96,25.34000015258789,4.365079365079366e-06,0
2021-01-05,EFAX,34.13313293457031,0.0076786004074727,0.0076742353281076,2.01,0.11,0.96,25.34000015258789,4.365079365079366e-06,0
2021-01-05,EFIV,32.438758850097656,0.0074800150844305,0.0074756500050654,2.01,0.11,0.96,25.34000015258789,4.365079365079366e-06,0
2021-01-05,ESGD,63.78110885620117,0.0091106328115559,0.0091062677321908,2.01,0.11,0.96,25.34000015258789,4.365079365079366e-06,0
2021-01-05,ESGE,38.00894927978515,0.0215231183803292,0.0215187533009641,2.01,0.11,0.96,25.34000015258789,4.365079365079366e-06,0
2021-01-05,ESGU,80.0480728149414,0.0070679596069425,0.0070635945275774,2.01,0.11,0.96,25.34000015258789,4.365079365079366e-06,0
2021-01-05,ESGV,65.81777954101562,0.0060607134918688,0.0060563484125037,2.01,0.11,0.96,25.34000015258789,4.365079365079366e-06,0
2021-01-05,GRID,77.57481384277344,0.0163711763578697,0.0163668112785046,2.01,0.11,0.96,25.34000015258789,4.365079365079366e-06,0
2021-01-05,ICLN,27.33571052551269,0.0212692560634495,0.0212648909840844,2.01,0.11,0.96,25.34000015258789,4.365079365079366e-06,0
2021-01-05,KRMA,25.423582077026367,0.0092834109052117,0.0092790458258466,2.01,0.11,0.96,25.34000015258789,4.365079365079366e-06,0
2021-01-05,LIT,68.6812515258789,0.0760180256129225,0.0760136605335574,2.01,0.11,0.96,25.34000015258789,4.365079365079366e-06,0
2021-01-05,NULG,52.742469787597656,0.0062825509627104,0.0062781858833453,2.01,0.11,0.96,25.34000015258789,4.365079365079366e-06,0
2021-01-05,NULV,28.77171516418457,0.0067734633315752,0.0067690982522101,2.01,0.11,0.96,25.34000015258789,4.365079365079366e-06,0
2021-01-05,PBW,95.32355499267578,0.0270689840555116,0.0270646189761465,2.01,0.11,0.96,25.34000015258789,4.365079365079366e-06,0
2021-01-05,PZD,63.15774917602539,0.0188754195845402,0.0188710545051751,2.01,0.11,0.96,25.34000015258789,4.365079365079366e-06,0
2021-01-05,QCLN,70.9178466796875,0.0235975938032737,0.0235932287239086,2.01,0.11,0.96,25.34000015258789,4.365079365079366e-06,0
2021-01-05,SHE,83.43157958984375,0.0078466195501458,0.0078422544707807,2.01,0.11,0.96,25.34000015258789,4.365079365079366e-06,0
2021-01-05,SMOG,160.83392333984375,0.0130476202192557,0.0130432551398906,2.01,0.11,0.96,25.34000015258789,4.365079365079366e-06,0
2021-01-05,SUSA,77.03055572509766,0.007253707885771,0.0072493428064059,2.01,0.11,0.96,25.34000015258789,4.365079365079366e-06,0
